"Identified.Proteins","Accession.Number","Alternate.ID","Molecular.Weight","sample","value","group"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X249A",12.117,"OC2_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X278A",11.424,"OC2_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X114B",6.7885,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X115B",5.1659,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X116B",9.6636,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X133B",5.0889,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X137B",3.2188,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X162B",2.958,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X192B",9.3212,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X249B",3.2432,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X278B",7.2726,"OC2_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X081A",16.232,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X087A",9.6329,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X088A",7.7153,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X098A",13.431,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X100A",10.761,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X107A",10.611,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X108A",13.388,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X110A",9.1102,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X125A",10.062,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X193A",12.269,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X203A",7.8856,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X204A",11.453,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X254A",11.936,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X265A",7.7546,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X269A",9.8437,"OC4_0"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X081B",5.0753,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X087B",9.6538,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X088B",5.7972,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X098B",5.1699,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X100B",9.5565,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X107B",5.9429,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X108B",6.6541,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X110B",6.2708,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X125B",5.9741,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X193B",10.064,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X203B",8.9681,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X204B",6.9324,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X254B",6.527,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X265B",5.1392,"OC4_1"
"carbonic anhydrase 3  ","XP_048697083.1","CA3",30,"X269B",5.1824,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X114A",10.674,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X115A",9.1532,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X116A",8.6394,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X133A",8.056,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X137A",15.274,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X162A",16.188,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X192A",8.0299,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X249A",14.137,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X278A",12.376,"OC2_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X114B",10.668,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X115B",12.398,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X116B",9.6636,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X133B",5.0889,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X137B",9.6563,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X162B",7.8879,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X192B",9.3212,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X249B",9.7297,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X278B",8.3115,"OC2_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X081A",11.903,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X087A",10.703,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X088A",9.6441,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X098A",5.1656,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X100A",5.8694,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X107A",9.5502,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X108A",8.9251,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X110A",9.1102,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X125A",15.094,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X193A",12.269,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X203A",5.9142,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X204A",12.407,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X254A",8.6805,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X265A",7.7546,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X269A",14.766,"OC4_0"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X081B",11.166,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X087B",12.55,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X088B",9.8397,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X098B",7.2379,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X100B",13.379,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X107B",8.9143,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X108B",19.012,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X110B",7.316,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X125B",12.944,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X193B",10.064,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X203B",6.9752,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X204B",12.874,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X254B",7.6148,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X265B",12.334,"OC4_1"
"cartilage oligomeric matrix protein  ","XP_048686459.1","COMP",84,"X269B",12.438,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X114A",8.895,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X115A",8.1362,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X116A",8.6394,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X133A",8.056,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X137A",7.6368,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X162A",8.0941,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X192A",7.0262,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X249A",7.0685,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X278A",9.52,"OC2_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X114B",7.7583,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X115B",6.1991,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X116B",8.6973,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X133B",9.16,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X137B",4.2917,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X162B",7.8879,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X192B",9.3212,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X249B",8.6486,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X278B",7.2726,"OC2_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X081A",12.985,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X087A",4.2813,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X088A",10.609,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X098A",7.2319,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X100A",2.9347,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X107A",11.672,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X108A",1.785,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X110A",8.0979,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X125A",10.062,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X193A",9.2016,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X203A",5.9142,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X204A",9.5442,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X254A",5.4253,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X265A",9.6933,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X269A",3.9375,"OC4_0"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X081B",7.1054,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X087B",11.585,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X088B",8.8557,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X098B",11.374,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X100B",3.8226,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X107B",11.886,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X108B",2.8518,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X110B",10.451,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X125B",10.953,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X193B",11.071,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X203B",9.9645,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X204B",9.9034,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X254B",7.6148,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X265B",12.334,"OC4_1"
"coagulation factor XIII A chain  ","XP_048695742.1","F13A1",84,"X269B",11.401,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X114A",28.464,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X115A",14.238,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X116A",42.333,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X133A",23.161,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X137A",15.274,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X162A",12.141,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X192A",35.131,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X249A",21.205,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X278A",15.232,"OC2_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X114B",4.8489,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X115B",2.0664,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X116B",10.63,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X133B",10.178,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X137B",3.2188,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X162B",3.944,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X192B",7.457,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X249B",4.3243,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X278B",1.0389,"OC2_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X081A",12.985,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X087A",4.2813,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X088A",9.6441,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X098A",5.1656,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X100A",5.8694,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X107A",4.2445,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X108A",10.71,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X110A",13.159,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X125A",9.0562,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X193A",10.224,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X203A",2.9571,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X204A",11.453,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X254A",6.5104,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X265A",13.571,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X269A",3.9375,"OC4_0"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X081B",2.0301,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X087B",5.7923,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X088B",2.9519,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X098B",1.034,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X100B",0.95565,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X107B",1.981,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X108B",4.7529,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X110B",3.1354,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X125B",2.987,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X193B",2.0129,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X203B",5.9787,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X204B",4.9517,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X254B",2.1757,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X265B",2.0557,"OC4_1"
"Cluster of glyceraldehyde-3-phosphate dehydrogenase  ","XP_048676391.1 ","GAPDH",41,"X269B",1.0365,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X114A",15.121,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X115A",22.375,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X116A",23.326,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X133A",14.098,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X137A",12.001,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X162A",13.153,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X192A",15.056,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X249A",11.108,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X278A",12.376,"OC2_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X114B",18.426,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X115B",7.2323,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X116B",9.6636,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X133B",2.0356,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X137B",1.0729,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X162B",7.8879,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X192B",5.5927,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X249B",7.5675,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X278B",4.1557,"OC2_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X081A",9.739,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X087A",19.266,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X088A",17.359,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X098A",4.1325,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X100A",11.739,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X107A",9.5502,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X108A",29.453,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X110A",16.196,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X125A",13.081,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X193A",13.291,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X203A",7.8856,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X204A",9.5442,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X254A",6.5104,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X265A",5.816,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X269A",4.9218,"OC4_0"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X081B",2.0301,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X087B",5.7923,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X088B",2.9519,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X098B",1.034,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X100B",0.95565,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X107B",1.981,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X108B",19.012,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X110B",4.1806,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X125B",2.987,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X193B",4.0257,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X203B",2.9894,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X204B",1.9807,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X254B",4.3513,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X265B",1.0278,"OC4_1"
"protein-glutamine gamma-glutamyltransferase E-like  ","XP_048676216.1","TGM3",77,"X269B",3.1094,"OC4_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X114A",5.5703,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X115A",5.6649,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X116A",8.268,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X133A",6.8803,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X137A",6.0521,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X162A",8.6479,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X192A",4.3011,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X249A",5.0489,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X278A",11.264,"OC2_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X114B",5.1253,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X115B",8.5599,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X116B",11.434,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X133B",14.829,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X137B",14.56,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X162B",7.183,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X192B",3.7285,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X249B",3.5514,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X278B",6.8023,"OC2_1"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X081A",3.5548,"OC4_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X087A",2.7265,"OC4_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X088A",3.8576,"OC4_0"
"collagen alpha-1 chain  ","XP_048725386.1","COL3A1",140,"X098A",4.1325,"OC4_0"
