Identified Proteins ,Accession Number,Alternate ID,Molecular Weight,114A,115A,116A,133A,137A,162A,192A,249A,278A,114B,115B,116B,133B,137B,162B,192B,249B,278B,081A,087A,088A,098A,100A,107A,108A,110A,125A,193A,203A,204A,254A,265A,269A,081B,087B,088B,098B,100B,107B,108B,110B,125B,193B,203B,204B,254B,265B,269B
Cluster of creatine kinase M-type  ,XP_048690328.1 ,CKM,43,84.454,27.458,108.81,37.254,25.09,19.224,74.273,37.36,19.04,7.7583,1.0332,23.193,25.444,15.021,0.98599,4.6606,6.4865,0,17.314,24.616,24.11,17.561,19.565,15.917,41.054,23.28,16.098,22.493,6.8999,23.861,3.2552,41.678,7.875,12.181,1.9308,0,14.476,14.335,0.99048,22.814,8.3611,1.9914,3.0193,3.9858,0.99034,1.0878,7.1949,0
angiotensinogen  ,XP_048699871.1,AGT,51,16.011,20.341,14.687,18.126,20.729,20.235,20.075,19.186,19.992,24.245,21.697,17.395,25.444,21.458,25.636,23.303,20.54,28.051,16.232,17.125,19.288,22.729,13.695,22.284,16.958,15.184,19.119,20.448,17.743,15.271,19.531,18.417,17.719,21.316,17.377,19.679,17.578,21.024,23.771,19.962,19.858,21.905,16.103,18.933,21.788,20.669,22.613,30.058
Cluster of gelsolin isoform X4  ,XP_048679364.1 ,GSN,84,19.569,20.341,19.007,15.105,18.547,24.282,22.082,22.215,20.944,13.577,19.63,19.327,14.249,15.021,14.79,18.642,14.054,20.779,30.299,26.758,22.181,16.53,23.478,28.651,23.205,22.269,27.169,21.47,20.7,20.997,20.616,19.387,16.734,20.301,16.411,16.727,11.374,15.29,15.848,13.308,14.632,18.918,18.116,11.957,14.855,18.493,15.418,18.657
complement component C7  ,XP_048707346.1,C7,93,12.453,16.272,12.095,10.07,19.638,22.259,16.06,29.284,29.512,21.335,24.796,10.63,14.249,26.823,24.65,9.3212,23.784,24.934,16.232,20.336,24.11,12.397,14.674,6.3668,26.775,20.245,17.106,23.515,16.757,22.906,26.041,32.957,21.656,19.286,18.342,19.679,15.51,25.802,8.9143,35.172,16.722,12.944,22.141,21.922,16.836,18.493,21.585,20.729
protein AMBP  ,XP_048678832.1,AMBP,39,19.569,18.306,15.551,20.14,20.729,17.2,13.049,16.156,23.8,22.305,24.796,15.462,17.302,18.24,19.72,25.167,14.054,23.896,15.15,21.406,17.359,20.662,25.434,22.284,16.958,22.269,26.162,22.493,18.728,13.362,17.361,17.448,20.672,15.226,22.204,17.711,21.714,22.935,23.771,22.814,13.587,19.914,17.109,15.943,15.846,17.405,20.557,23.839
"complement C3-like, partial  ",XP_048691203.1,C3,15,18.861,14.446,13.135,16.317,22.042,16.326,14.394,23.362,19.234,25.412,19.841,21.457,22.599,22.75,20.907,17.9,21.916,28.263,12.124,20.554,23.343,18.807,20.743,18.328,17.14,21.532,17.311,19.634,11.044,17.374,17.582,16.61,15.951,16.448,18.539,19.88,18.823,19.308,21.992,26.81,19.026,18.125,19.327,20.132,21.99,19.803,24.948,18.938
complement C1s subcomponent  ,XP_048677222.1 ,C1S,78,13.342,18.306,16.415,16.112,16.365,18.212,22.082,17.166,19.04,17.456,18.597,17.395,10.178,13.948,19.72,18.642,10.811,11.428,19.478,18.196,18.324,19.629,19.565,22.284,21.42,18.22,17.106,20.448,20.7,18.134,20.616,16.479,22.641,13.196,19.308,18.695,13.442,18.157,13.867,18.061,16.722,18.918,12.077,17.936,18.817,13.054,18.501,14.511
plasma protease C1 inhibitor  ,XP_048708256.1,SERPING1,60,24.016,11.187,27.646,25.175,27.274,23.271,7.0262,19.186,18.088,15.517,36.161,18.361,17.302,19.313,36.482,30.76,28.108,6.2336,22.724,38.532,34.719,25.828,27.391,28.651,26.775,23.282,3.0187,7.1568,19.714,23.861,3.2552,17.448,22.641,8.1205,18.342,2.9519,16.544,8.6008,3.9619,51.332,3.1354,16.927,27.174,31.886,29.71,2.1757,20.557,14.511
protein Z-dependent protease inhibitor  ,XP_048708170.1,SERPINA10,50,16.011,15.255,12.959,18.126,17.456,15.176,15.056,12.117,18.088,19.396,19.63,17.395,15.267,16.094,22.678,15.846,18.378,20.779,19.478,18.196,15.431,18.596,20.543,16.978,16.065,18.22,13.081,14.314,16.757,11.453,15.191,12.601,18.703,20.301,12.55,16.727,15.51,14.335,18.819,15.209,15.677,18.918,19.122,16.94,20.797,17.405,16.446,17.62
alpha-1-antitrypsin-like  ,XP_048711224.1,SERPINA1,48,19.569,17.289,16.415,13.091,10.91,8.0941,20.075,16.156,24.752,18.426,19.63,25.125,15.267,12.875,6.9019,22.371,17.297,24.934,14.067,16.055,14.466,15.497,20.543,14.856,11.603,9.1102,14.087,9.2016,25.628,16.225,13.021,8.724,22.641,21.316,16.411,21.647,19.646,21.98,15.848,7.6047,13.587,13.94,17.109,26.904,27.73,16.317,17.473,19.693
thrombospondin-1  ,XP_048709402.1,THBS1,130,24.016,21.358,21.412,20.14,16.247,23.271,30.004,10.098,18.937,24.245,26.863,20.294,18.32,18.124,22.571,16.677,16.216,20.779,22.724,19.266,20.253,19.629,16.63,20.162,6.2476,26.318,28.175,29.65,24.642,20.997,26.041,26.067,15.75,18.271,19.308,23.615,9.3059,21.024,17.829,23.662,24.971,17.922,22.141,26.797,19.807,16.317,4.1114,11.401
alpha-1-acid glycoprotein 1-like  ,XP_048679145.1,LOC125623586,21,12.453,15.255,11.231,11.077,9.8188,11.129,12.045,24.235,12.376,13.577,12.398,10.63,11.196,8.5834,10.846,15.846,22.703,16.623,17.314,14.985,21.217,16.53,19.565,20.162,23.205,14.171,14.087,15.336,21.685,14.316,15.191,14.54,13.781,16.241,12.55,9.8397,8.2719,14.335,10.895,19.962,10.451,13.94,12.077,9.9645,13.865,15.23,14.39,13.474
alpha-1-antitrypsin-like  ,XP_048711370.1,SERPINA1,49,19.805,19.594,17.508,17.387,25.161,17.469,15.323,20.464,23.101,16.744,11.639,19.584,25.238,20.671,20.968,17.026,16.791,19.164,18.683,19.55,20.509,23.003,18.846,20.443,13.625,10.929,15.361,15.608,19.976,9.7978,17.649,17.705,17.98,17.526,17.633,20.925,14.75,13.887,17.101,14.764,10.729,19.447,21.402,18.466,14.128,16.606,20.83,21.192
Cluster of soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like  ,XP_048690774.1 ,SSC5D,155,13.342,23.392,15.551,21.147,19.638,20.235,23.086,18.176,18.088,15.517,24.796,22.226,20.356,18.24,16.762,17.71,18.378,14.545,22.724,23.547,15.431,16.53,16.63,16.978,14.28,20.245,17.106,20.448,21.685,15.271,19.531,25.203,22.641,22.331,14.481,16.727,13.442,16.246,16.838,19.012,16.722,14.935,13.084,17.936,12.874,16.317,16.446,17.62
intelectin-like protein  ,XP_048684680.1,ITLN1,39,16.011,20.341,13.823,15.105,18.547,23.271,19.071,19.186,24.752,18.426,23.763,18.361,16.284,19.313,17.748,19.575,18.378,15.584,22.724,20.336,18.324,19.629,18.587,20.162,16.958,21.257,18.112,20.448,20.7,23.861,23.871,18.417,20.672,18.271,19.308,13.776,19.646,17.202,19.81,18.061,19.858,17.922,17.109,18.933,15.846,19.581,16.446,15.547
lumican  ,XP_048691561.1,LUM,39,19.569,17.289,13.823,15.105,19.638,10.118,22.082,22.215,19.992,14.547,19.63,12.563,10.178,15.021,13.804,18.642,14.054,18.701,16.232,22.477,22.181,15.497,16.63,21.223,12.495,19.233,18.112,22.493,16.757,18.134,19.531,21.325,20.672,11.166,17.377,15.744,15.51,17.202,16.838,17.111,17.767,8.9611,15.096,14.947,16.836,26.108,10.278,18.657
LOW QUALITY PROTEIN: inter-alpha-trypsin inhibitor heavy chain H4-like  ,XP_048713458.1,ITIH4,101,11.497,15.637,15.249,16.213,10.829,15.556,16.161,13.784,18.017,19.76,14.104,13.457,14.911,8.3959,16.146,13.656,13.379,17.013,17.72,11.4,15.094,17.486,16.019,17.377,14.861,14.551,13.736,18.046,18.384,15.892,18.853,15.607,16.12,16.901,13.878,16.384,14.399,15.912,15.774,16.517,11.889,11.874,13.738,16.317,12.256,16.237,11.23,14.9
clusterin  ,XP_048701992.1,CLU,53,15.121,18.306,12.095,21.147,14.183,19.224,20.075,13.127,17.136,20.365,19.63,21.26,26.462,13.948,17.748,20.507,25.946,24.934,20.56,22.477,14.466,20.662,14.674,15.917,21.42,21.257,19.119,19.426,16.757,16.225,16.276,15.509,21.656,19.286,18.342,16.727,21.714,15.29,19.81,20.913,17.767,20.909,15.096,19.929,19.807,23.932,24.668,20.729
leucine-rich alpha-2-glycoprotein  ,XP_048686858.1,LRG1,40,15.121,17.289,14.687,14.098,15.274,12.141,16.06,15.147,16.184,14.547,16.531,15.462,14.249,15.021,16.762,18.642,20.54,17.662,14.067,13.914,13.502,17.563,15.652,14.856,16.958,17.208,14.087,16.358,19.714,16.225,16.276,17.448,14.766,11.166,13.515,11.808,17.578,15.29,13.867,15.209,14.632,11.948,13.084,16.94,14.855,15.23,14.39,15.547
complement component C8 beta chain  ,XP_048718259.1,C8B,67,13.342,15.255,14.687,14.098,18.547,12.141,16.06,15.147,17.136,18.426,16.531,14.495,18.32,18.24,16.762,15.846,20.54,16.623,14.067,22.477,13.502,15.497,19.565,13.795,20.528,18.22,15.094,18.403,18.728,16.225,22.786,18.417,18.703,14.211,17.377,18.695,13.442,20.069,13.867,23.765,15.677,15.931,14.09,17.936,15.846,18.493,17.473,13.474
C4b-binding protein-like  ,XP_048683028.1,C4BPA,30,14.232,15.255,11.231,18.126,18.547,14.578,17.269,30.293,19.04,17.456,14.465,16.428,19.338,16.094,12.818,13.05,21.622,13.506,15.15,13.914,23.146,17.563,20.543,10.611,15.173,21.257,18.112,16.358,19.714,14.316,16.276,11.632,16.734,15.226,15.446,14.76,12.408,14.335,10.895,26.616,17.767,11.948,17.109,16.94,14.855,13.054,12.334,11.401
apolipoprotein C-III  ,XP_048683319.1,APOC3,10,13.342,14.238,11.231,10.07,13.092,12.141,13.049,16.156,13.328,7.7583,10.332,10.63,14.249,17.167,16.762,14.914,14.054,6.2336,15.15,8.5626,12.537,16.53,16.63,13.795,15.173,14.171,14.087,15.336,13.8,18.134,20.616,17.448,16.734,15.226,17.377,16.727,17.578,17.202,17.829,11.407,18.813,13.94,14.09,14.947,19.807,18.493,9.2506,9.3283
Cluster of LOW QUALITY PROTEIN: carboxypeptidase B2  ,XP_048687140.1 ,CPB2,52,11.433,12.055,11.105,14.958,12.932,17.052,15.913,17.018,12.237,18.284,10.181,9.5221,15.118,12.718,16.617,15.71,18.22,15.28,20.243,15.898,16.254,18.596,15.509,18.945,12.364,15.035,15.953,16.209,15.627,15.131,12.862,13.429,13.637,13.914,14.339,13.631,10.188,15.15,13.722,13.169,13.434,14.789,15.096,13.804,13.72,16.158,17.172,18.353
hyaluronidase-1  ,XP_048714877.1,HYAL1,50,14.232,16.272,12.959,14.098,15.274,13.153,14.052,15.147,18.088,17.456,15.498,14.495,12.213,16.094,15.776,15.846,15.135,18.701,16.232,16.055,19.288,17.563,13.695,18.039,15.173,15.184,15.094,13.291,14.785,16.225,19.531,16.479,17.719,13.196,15.446,16.727,12.408,14.335,15.848,18.061,14.632,10.953,16.103,14.947,14.855,16.317,17.473,15.547
IgGFc-binding protein-like  ,XP_048684753.1,FCGBP,245,17.264,17.705,14.687,15.105,18.992,13.153,13.274,10.098,17.136,14.726,19.02,14.674,18.508,15.459,12.818,14.914,16.416,12.659,16.232,18.633,18.718,17.754,21.74,17.216,13.552,21.858,14.273,16.587,13.8,11.629,13.264,15.726,15.75,17.671,9.6538,17.893,19.034,13.379,9.9048,13.484,13.78,14.307,15.096,9.9645,17.241,15.674,15.607,13.666
apolipoprotein C-II-like  ,XP_048684694.1,LOC125626053,13,12.453,14.238,10.367,15.105,15.274,10.118,17.064,13.127,16.184,8.7281,12.398,13.529,12.213,17.167,17.748,15.846,11.892,8.3115,12.985,10.703,13.502,15.497,16.63,13.795,13.388,18.22,18.112,19.426,16.757,19.088,16.276,17.448,18.703,12.181,17.377,12.792,18.612,16.246,13.867,9.5059,14.632,9.9568,16.103,16.94,16.836,16.317,9.2506,9.3283
Cluster of perforin-1-like  ,XP_048708835.1 ,PRF1,59,14.232,11.187,10.367,14.098,13.092,12.141,14.052,21.205,10.472,17.456,13.431,11.596,13.231,15.021,12.818,13.05,18.378,14.545,12.985,14.985,11.573,7.2319,9.7824,12.734,13.388,12.147,16.1,12.269,16.757,8.5898,15.191,15.509,13.781,14.211,15.446,13.776,10.34,10.512,10.895,18.061,17.767,13.94,17.109,14.947,13.865,18.493,15.418,19.693
hemoglobin subunit alpha-A  ,XP_048721920.1,HBA2,16,22.237,20.341,26.782,14.098,19.638,22.259,13.049,11.108,11.424,7.7583,7.2323,10.63,3.0533,4.2917,2.958,10.253,6.4865,8.3115,23.806,11.774,8.6797,12.397,11.739,10.611,16.065,11.135,10.062,13.291,7.8856,10.499,9.7655,5.816,7.875,7.1054,10.619,6.8878,4.1359,7.6452,7.9238,7.6047,8.3611,5.9741,10.064,6.9752,6.9324,7.6148,8.2228,6.2188
collagen alpha-2 chain  ,XP_048694121.1,COL1A2,129,6.2265,4.0681,7.7755,4.028,8.7278,14.165,3.0112,4.0391,14.28,7.7583,18.597,22.226,38.676,30.042,12.818,9.3212,4.3243,15.584,4.3284,2.1406,4.8221,0,0,4.2445,3.57,8.0979,8.05,4.0896,3.9428,5.7265,4.3402,0,23.625,37.557,35.719,22.631,17.578,22.935,24.762,3.8024,29.264,31.862,28.18,16.94,21.788,32.635,35.975,24.875
LOW QUALITY PROTEIN: coagulation factor V  ,XP_048673430.1,F5,221,4.4475,9.1532,12.095,13.091,12.001,10.118,9.0337,8.0782,10.472,13.577,17.564,7.7309,7.1245,8.5834,17.748,13.05,18.378,13.506,9.739,6.4219,15.431,15.497,7.8259,12.734,6.2476,12.147,11.069,10.224,6.8999,4.7721,9.7655,10.663,14.766,12.181,10.619,11.808,7.2379,5.7339,9.9048,18.061,10.451,9.9568,13.084,13.95,10.894,13.054,15.418,12.438
LOW QUALITY PROTEIN: collagen alpha-1 chain  ,XP_048701867.1,COL12A1,359,14.232,12.204,15.551,12.084,9.8188,21.247,9.0337,15.147,17.136,7.7583,12.398,12.563,12.213,5.3646,9.8599,5.5927,6.4865,5.1947,12.985,24.617,4.8221,10.331,10.761,14.856,13.388,10.122,11.069,12.269,11.828,9.5442,10.851,45.559,15.75,12.181,11.585,7.8718,10.34,16.246,17.829,10.456,10.451,8.9611,10.064,10.961,9.9034,11.966,15.418,11.401
collagen alpha-1 chain  ,XP_048725323.1,COL6A1,109,11.563,22.375,7.7755,10.07,8.7278,14.165,14.052,11.108,18.088,11.637,13.431,20.294,14.249,12.875,12.818,11.185,9.7297,14.545,12.985,17.125,8.6797,10.331,10.761,12.734,8.9251,10.122,22.137,16.358,14.785,15.271,16.276,11.632,16.734,14.211,17.377,14.76,11.374,21.024,15.848,7.6047,15.677,17.922,17.109,13.95,13.865,13.054,19.529,11.401
Cluster of fructose-bisphosphate aldolase A  ,XP_048710649.1 ,ALDOA,40,57.817,21.358,95.034,36.252,14.183,10.118,55.206,43.421,18.088,2.9094,2.0664,3.8655,10.178,3.2188,0.98599,0.93212,1.0811,2.0779,11.903,10.703,9.6441,8.265,6.8477,5.3057,8.9846,16.196,11.069,10.224,2.9571,16.225,2.1701,13.571,3.9375,4.0603,1.9308,1.9679,2.068,1.9113,1.981,2.8518,3.1354,1.9914,2.0129,1.9929,1.9807,2.1757,2.0557,0
"Cluster of glycogen phosphorylase, muscle form  ",XP_048714509.1 ,PYGM,97,57.817,26.443,75.163,43.301,20.729,11.129,59.221,43.421,25.704,0.96978,0,6.7645,7.1245,3.2188,0,0,0,0,9.739,14.985,20.253,8.265,8.8042,4.2445,33.023,22.269,9.0562,12.269,1.9714,16.225,0,40.712,0,2.0301,0,0,0,0,0,14.259,0,0,0,0,0,0,0,0
uncharacterized protein LOC125629711  ,XP_048691069.1,LOC125629711,25,13.342,20.341,11.231,18.126,15.274,13.153,15.056,26.254,11.424,6.7885,13.431,11.596,10.178,12.875,10.846,13.982,14.054,15.584,10.821,20.336,16.395,17.563,12.717,10.611,12.495,14.171,13.081,15.336,13.8,21.952,18.446,19.387,14.766,8.1205,9.6538,6.8878,7.2379,10.512,7.9238,10.456,11.497,9.9568,11.071,10.961,14.855,16.317,9.2506,9.3283
Cluster of fibulin-1 isoform X1  ,XP_048680699.1 ,FBLN1,78,8.895,9.1532,9.5034,13.091,6.5459,11.129,14.052,13.127,16.184,11.637,13.431,15.462,15.267,5.3646,13.804,11.185,23.784,8.3115,18.396,16.055,13.502,13.431,8.8042,11.672,15.173,11.135,14.087,19.426,10.843,16.225,17.361,15.509,18.703,13.196,15.446,12.792,10.34,15.29,15.848,13.308,15.677,13.94,18.116,9.9645,14.855,11.966,15.418,9.3283
vitronectin  ,XP_048680272.1,VTN,50,6.2265,11.187,7.7755,8.056,8.7278,9.1059,14.052,9.088,14.28,14.547,16.531,11.596,15.267,11.802,18.734,19.575,16.216,14.545,12.985,11.774,14.466,11.364,11.739,9.5502,5.355,16.196,5.0312,14.314,13.8,7.6354,15.191,7.7546,13.781,20.301,19.308,17.711,13.442,19.113,15.848,10.456,14.632,16.927,19.122,16.94,15.846,19.581,9.2506,15.547
apolipoprotein E  ,XP_048684422.1,APOE,31,11.563,11.187,9.5034,15.105,8.7278,17.2,17.064,16.156,12.376,13.577,13.431,8.6973,7.1245,12.875,19.72,22.371,11.892,5.1947,16.232,17.125,16.395,13.431,15.652,13.795,16.065,11.135,12.075,13.291,14.785,15.271,15.191,17.448,14.766,11.166,13.515,13.776,15.51,15.29,16.838,16.16,14.632,14.935,14.09,14.947,19.807,14.142,8.2228,9.3283
sex hormone-binding globulin  ,XP_048689932.1,SHBG,46,9.7845,13.221,11.231,9.063,14.183,14.165,10.037,18.176,16.184,14.547,10.332,7.7309,8.1422,9.6563,9.8599,8.3891,11.892,16.623,11.903,17.125,10.609,11.364,6.8477,9.5502,7.1401,12.147,16.1,13.291,24.642,14.316,17.361,16.479,16.734,8.1205,7.7231,7.8718,8.2719,10.512,6.9333,11.407,13.587,9.9568,9.0579,9.9645,7.9228,14.142,16.446,15.547
L-lactate dehydrogenase A chain  ,XP_048711842.1,LDHA,37,20.138,11.838,27.887,12.728,12.698,8.7411,21.72,12.763,11.69,18.076,12.026,19.945,11.846,11.415,10.49,15.51,12.583,8.9759,5.0204,11.388,9.2964,5.8263,8.4515,7.0454,15.743,10.77,11.712,8.833,7.5302,11.109,3.9491,14.81,3.5826,8.7696,9.9232,8.501,9.9671,8.8674,7.5667,15.817,10.075,10.594,8.6951,10.602,10.537,6.8305,8.8801,5.8452
coagulation factor XIII B chain-like  ,XP_048717761.1,F13B,74,8.895,9.1532,9.5034,10.07,15.274,10.118,7.0262,0,12.376,10.668,13.431,9.6636,13.231,12.875,13.804,15.846,15.135,11.428,14.067,18.196,14.466,14.464,6.8477,12.734,8.0326,11.135,10.062,7.1568,7.8856,11.453,9.7655,9.6933,11.812,10.151,11.585,15.744,15.51,10.512,15.848,10.456,10.451,13.94,13.084,12.954,11.884,11.966,14.39,15.547
pentraxin fusion protein-like  ,XP_048702330.1,CRP,90,11.563,9.1532,5.1837,5.035,0,4.0471,4.015,0,0,27.154,15.498,10.63,14.249,5.3646,21.692,28.896,1.0811,16.623,8.6569,16.055,6.7509,21.696,1.9565,7.4279,17.85,1.0122,16.1,10.224,3.9428,6.681,11.936,15.509,3.9375,13.196,12.55,21.647,17.578,1.9113,12.876,36.122,4.1806,25.888,19.122,20.925,26.739,19.581,26.724,32.131
tetranectin  ,XP_048694819.1,CLEC3B,22,11.563,14.238,9.5034,13.091,14.183,18.212,15.056,13.127,12.376,6.7885,11.365,12.563,9.16,8.5834,11.832,9.3212,15.135,15.584,16.232,14.985,11.573,14.464,12.717,13.795,12.495,18.22,15.094,19.426,12.814,20.043,14.106,20.356,12.797,10.151,7.7231,7.8718,13.442,9.5565,11.886,8.5553,12.542,8.9611,12.077,11.957,6.9324,9.7905,10.278,9.3283
fibrinogen-like protein 1-like protein isoform X1  ,XP_048680048.1 ,FGL1,30,8.0055,12.204,9.5034,9.063,15.274,11.129,14.052,12.117,10.472,7.7583,7.2323,5.7982,8.1422,11.802,5.9159,10.253,12.973,10.389,12.985,9.6329,9.6441,10.331,11.739,10.611,5.355,13.159,12.075,10.224,10.843,12.407,15.191,12.601,10.828,5.0753,6.7577,5.9038,8.2719,6.6895,6.9333,6.6541,10.451,5.9741,9.0579,5.9787,10.894,11.966,6.1671,9.3283
Cluster of pancreatic alpha-amylase-like  ,XP_048716243.1 ,AMY2A,59,11.266,5.7622,6.6228,9.9017,6.1812,8.7677,6.8584,10.77,11.106,15.192,12.053,9.3406,16.962,6.0789,12.653,13.67,8.468,13.159,11.722,10.345,11.251,14.118,9.4554,15.562,15.767,6.7474,10.732,7.8375,13.47,12.088,11.754,9.3693,8.5303,14.887,15.123,17.383,8.0991,11.148,13.536,11.248,8.1865,12.611,12.747,12.621,12.543,9.4269,14.046,10.018
glutathione peroxidase 3  ,XP_048715596.1,GPX3,26,8.0055,9.1532,5.1837,6.042,8.7278,8.0941,5.0187,7.0685,7.616,8.7281,8.2654,8.6973,7.1245,8.5834,4.9299,7.457,9.7297,7.2726,8.6569,8.5626,7.7153,8.265,7.8259,6.3668,7.1401,6.0735,7.0437,6.1344,8.8713,5.7265,5.4253,5.816,8.8593,7.1054,6.7577,7.8718,8.2719,8.6008,6.9333,7.6047,8.3611,7.9655,7.045,5.9787,7.9228,9.7905,8.2228,9.3283
complement C1r subcomponent  ,XP_048677329.1,C1R,80,7.116,6.1022,6.9115,5.035,5.4549,5.0588,7.0262,7.0685,6.664,4.8489,11.365,4.8318,6.1067,4.2917,8.8739,7.457,6.4865,2.0779,9.739,7.4923,7.7153,9.2981,5.8694,6.3668,8.9251,6.0735,7.0437,7.1568,6.8999,7.6354,7.5954,8.724,9.8437,6.0904,4.8269,5.9038,5.1699,5.7339,6.9333,8.5553,7.316,5.9741,5.0322,4.9823,5.9421,5.4391,7.1949,5.1824
Cluster of phosphatidylinositol-glycan-specific phospholipase D  ,XP_048695957.1 ,GPLD1,93,10.674,9.1532,10.367,16.112,15.274,13.153,9.0337,10.098,11.424,6.7885,6.1991,7.7309,3.0533,7.5104,9.8599,7.457,4.3243,10.389,11.903,13.914,11.573,13.431,11.739,12.734,4.4625,14.171,14.087,13.291,15.771,14.316,18.446,13.571,14.766,7.1054,12.55,7.8718,9.3059,9.5565,8.9143,4.7529,10.451,5.9741,7.045,9.9645,6.9324,5.4391,6.1671,6.2188
carbonic anhydrase 3  ,XP_048697083.1,CA3,30,15.121,11.187,17.279,12.084,9.7006,13.153,18.067,12.117,11.424,6.7885,5.1659,9.6636,5.0889,3.2188,2.958,9.3212,3.2432,7.2726,16.232,9.6329,7.7153,13.431,10.761,10.611,13.388,9.1102,10.062,12.269,7.8856,11.453,11.936,7.7546,9.8437,5.0753,9.6538,5.7972,5.1699,9.5565,5.9429,6.6541,6.2708,5.9741,10.064,8.9681,6.9324,6.527,5.1392,5.1824
cartilage oligomeric matrix protein  ,XP_048686459.1,COMP,84,10.674,9.1532,8.6394,8.056,15.274,16.188,8.0299,14.137,12.376,10.668,12.398,9.6636,5.0889,9.6563,7.8879,9.3212,9.7297,8.3115,11.903,10.703,9.6441,5.1656,5.8694,9.5502,8.9251,9.1102,15.094,12.269,5.9142,12.407,8.6805,7.7546,14.766,11.166,12.55,9.8397,7.2379,13.379,8.9143,19.012,7.316,12.944,10.064,6.9752,12.874,7.6148,12.334,12.438
coagulation factor XIII A chain  ,XP_048695742.1,F13A1,84,8.895,8.1362,8.6394,8.056,7.6368,8.0941,7.0262,7.0685,9.52,7.7583,6.1991,8.6973,9.16,4.2917,7.8879,9.3212,8.6486,7.2726,12.985,4.2813,10.609,7.2319,2.9347,11.672,1.785,8.0979,10.062,9.2016,5.9142,9.5442,5.4253,9.6933,3.9375,7.1054,11.585,8.8557,11.374,3.8226,11.886,2.8518,10.451,10.953,11.071,9.9645,9.9034,7.6148,12.334,11.401
Cluster of glyceraldehyde-3-phosphate dehydrogenase  ,XP_048676391.1 ,GAPDH,41,28.464,14.238,42.333,23.161,15.274,12.141,35.131,21.205,15.232,4.8489,2.0664,10.63,10.178,3.2188,3.944,7.457,4.3243,1.0389,12.985,4.2813,9.6441,5.1656,5.8694,4.2445,10.71,13.159,9.0562,10.224,2.9571,11.453,6.5104,13.571,3.9375,2.0301,5.7923,2.9519,1.034,0.95565,1.981,4.7529,3.1354,2.987,2.0129,5.9787,4.9517,2.1757,2.0557,1.0365
protein-glutamine gamma-glutamyltransferase E-like  ,XP_048676216.1,TGM3,77,15.121,22.375,23.326,14.098,12.001,13.153,15.056,11.108,12.376,18.426,7.2323,9.6636,2.0356,1.0729,7.8879,5.5927,7.5675,4.1557,9.739,19.266,17.359,4.1325,11.739,9.5502,29.453,16.196,13.081,13.291,7.8856,9.5442,6.5104,5.816,4.9218,2.0301,5.7923,2.9519,1.034,0.95565,1.981,19.012,4.1806,2.987,4.0257,2.9894,1.9807,4.3513,1.0278,3.1094
collagen alpha-1 chain  ,XP_048725386.1,COL3A1,140,5.5703,5.6649,8.268,6.8803,6.0521,8.6479,4.3011,5.0489,11.264,5.1253,8.5599,11.434,14.829,14.56,7.183,3.7285,3.5514,6.8023,3.5548,2.7265,3.8576,4.1325,2.9347,5.6081,4.4625,7.6627,5.318,3.3586,2.9571,3.1137,3.5644,2.908,11.109,16.071,14.319,11.643,11.669,12.263,7.7578,3.8024,12.092,16.76,10.615,9.2521,9.1954,13.364,18.036,8.8591
complement factor H-like  ,XP_048718319.1,CFH,154,4.7417,6.4386,2.0137,5.5347,5.8157,6.4053,3.3432,9.422,3.3283,6.2999,7.9158,3.3786,6.4433,4.6466,4.2701,5.1231,5.763,5.5383,5.0443,9.4477,9.1582,6.8822,6.193,4.5955,10.408,6.5757,6.5367,4.5969,6.2402,6.2001,4.6991,4.198,3.4415,3.7167,3.3751,3.2774,2.581,2.3854,4.2895,10.135,4.5263,4.3121,4.3586,3.4838,3.1348,4.7111,2.3957,4.4887
tenascin isoform X8  ,XP_048678726.1,TNC,216,6.2265,6.1022,10.367,6.042,5.4549,10.118,5.0187,7.0685,7.616,5.8187,6.1991,11.596,11.196,10.729,8.8739,8.3891,8.6486,9.3504,7.5748,14.985,8.6797,9.2981,9.7824,6.3668,14.28,12.147,7.0437,8.1792,6.8999,5.7265,6.5104,15.509,9.8437,9.1356,8.6884,6.8878,7.2379,11.468,8.9143,7.6047,15.677,11.948,8.0514,6.9752,5.9421,10.878,10.278,8.2918
Cluster of triosephosphate isomerase  ,XP_048677095.1 ,TPI1,27,22.237,18.306,31.966,17.119,12.001,12.141,23.086,21.205,15.232,0.96978,1.0332,13.529,8.1422,5.3646,1.972,2.7964,0,0,14.067,17.125,13.502,11.364,11.739,4.2445,16.958,16.196,14.087,12.269,5.9142,13.362,4.3402,18.417,3.9375,4.0603,5.7923,0.98397,4.1359,4.7782,0.99048,13.308,5.2257,0.99568,3.0193,3.9858,3.9614,2.1757,3.0835,0
apolipoprotein D  ,XP_048720501.1,APOD,22,8.0055,8.1362,6.0476,5.035,10.91,8.0941,7.0262,10.098,6.664,5.8187,5.1659,12.563,8.1422,11.802,4.9299,5.5927,6.4865,5.1947,10.821,9.6329,9.6441,11.364,11.739,10.611,3.57,8.0979,12.075,7.1568,9.8569,7.6354,6.5104,8.724,7.875,9.1356,10.619,7.8718,8.2719,10.512,7.9238,1.9012,9.4063,9.9568,8.0514,9.9645,7.9228,7.6148,9.2506,6.2188
